mode	category	task_name	policy_name	score
pvp	item	curriculum/Task_EquipItem_(item:Bottom_level:1_num_agent:1)_reward_to:agent	yaofeng_200M	0.710325
pvp	item	curriculum/Task_EquipItem_(item:Bottom_level:1_num_agent:1)_reward_to:agent	yaofeng_25M	0.449231
pvp	item	curriculum/Task_EquipItem_(item:Bottom_level:1_num_agent:1)_reward_to:agent	yaofeng_50M	0.511623
pvp	item	curriculum/Task_EquipItem_(item:Bottom_level:3_num_agent:1)_reward_to:agent	baseline_10M	0.030335
pvp	item	curriculum/Task_EquipItem_(item:Bottom_level:3_num_agent:1)_reward_to:agent	learner	0.000000
pvp	item	curriculum/Task_EquipItem_(item:Bottom_level:3_num_agent:1)_reward_to:agent	takeru_100M	0.127956
pvp	item	curriculum/Task_EquipItem_(item:Bottom_level:3_num_agent:1)_reward_to:agent	takeru_200M	0.155041
pvp	item	curriculum/Task_EquipItem_(item:Bottom_level:3_num_agent:1)_reward_to:agent	takeru_25M	0.058034
pvp	item	curriculum/Task_EquipItem_(item:Bottom_level:3_num_agent:1)_reward_to:agent	takeru_50M	0.048077
pvp	item	curriculum/Task_EquipItem_(item:Bottom_level:3_num_agent:1)_reward_to:agent	yaofeng_100M	0.298476
pvp	item	curriculum/Task_EquipItem_(item:Bottom_level:3_num_agent:1)_reward_to:agent	yaofeng_200M	0.368116
pvp	item	curriculum/Task_EquipItem_(item:Bottom_level:3_num_agent:1)_reward_to:agent	yaofeng_25M	0.148136
pvp	item	curriculum/Task_EquipItem_(item:Bottom_level:3_num_agent:1)_reward_to:agent	yaofeng_50M	0.247950
pvp	item	curriculum/Task_EquipItem_(item:Bow_level:1_num_agent:1)_reward_to:agent	baseline_10M	0.031666
pvp	item	curriculum/Task_EquipItem_(item:Bow_level:1_num_agent:1)_reward_to:agent	learner	0.000000
pvp	item	curriculum/Task_EquipItem_(item:Bow_level:1_num_agent:1)_reward_to:agent	takeru_100M	0.039270
pvp	item	curriculum/Task_EquipItem_(item:Bow_level:1_num_agent:1)_reward_to:agent	takeru_200M	0.096060
pvp	item	curriculum/Task_EquipItem_(item:Bow_level:1_num_agent:1)_reward_to:agent	takeru_25M	0.017404
pvp	item	curriculum/Task_EquipItem_(item:Bow_level:1_num_agent:1)_reward_to:agent	takeru_50M	0.037222
pvp	item	curriculum/Task_EquipItem_(item:Bow_level:1_num_agent:1)_reward_to:agent	yaofeng_100M	0.070724
pvp	item	curriculum/Task_EquipItem_(item:Bow_level:1_num_agent:1)_reward_to:agent	yaofeng_200M	0.129599
pvp	item	curriculum/Task_EquipItem_(item:Bow_level:1_num_agent:1)_reward_to:agent	yaofeng_25M	0.011537
pvp	item	curriculum/Task_EquipItem_(item:Bow_level:1_num_agent:1)_reward_to:agent	yaofeng_50M	0.059913
pvp	item	curriculum/Task_EquipItem_(item:Bow_level:3_num_agent:1)_reward_to:agent	baseline_10M	0.000000
pvp	item	curriculum/Task_EquipItem_(item:Bow_level:3_num_agent:1)_reward_to:agent	learner	0.000000
pvp	item	curriculum/Task_EquipItem_(item:Bow_level:3_num_agent:1)_reward_to:agent	takeru_100M	0.000000
pvp	item	curriculum/Task_EquipItem_(item:Bow_level:3_num_agent:1)_reward_to:agent	takeru_200M	0.000000
pvp	item	curriculum/Task_EquipItem_(item:Bow_level:3_num_agent:1)_reward_to:agent	takeru_25M	0.000000
pvp	item	curriculum/Task_EquipItem_(item:Bow_level:3_num_agent:1)_reward_to:agent	takeru_50M	0.000000
pvp	item	curriculum/Task_EquipItem_(item:Bow_level:3_num_agent:1)_reward_to:agent	yaofeng_100M	0.006088
pvp	item	curriculum/Task_EquipItem_(item:Bow_level:3_num_agent:1)_reward_to:agent	yaofeng_200M	0.002326
pvp	item	curriculum/Task_EquipItem_(item:Bow_level:3_num_agent:1)_reward_to:agent	yaofeng_25M	0.000000
pvp	item	curriculum/Task_EquipItem_(item:Bow_level:3_num_agent:1)_reward_to:agent	yaofeng_50M	0.003125
pvp	item	curriculum/Task_EquipItem_(item:Chisel_level:1_num_agent:1)_reward_to:agent	baseline_10M	0.089763
pvp	item	curriculum/Task_EquipItem_(item:Chisel_level:1_num_agent:1)_reward_to:agent	learner	0.026786
pvp	item	curriculum/Task_EquipItem_(item:Chisel_level:1_num_agent:1)_reward_to:agent	takeru_100M	0.267998
pvp	item	curriculum/Task_EquipItem_(item:Chisel_level:1_num_agent:1)_reward_to:agent	takeru_200M	0.342574
pvp	item	curriculum/Task_EquipItem_(item:Chisel_level:1_num_agent:1)_reward_to:agent	takeru_25M	0.239056
pvp	item	curriculum/Task_EquipItem_(item:Chisel_level:1_num_agent:1)_reward_to:agent	takeru_50M	0.218336
pvp	item	curriculum/Task_EquipItem_(item:Chisel_level:1_num_agent:1)_reward_to:agent	yaofeng_100M	0.428223
pvp	item	curriculum/Task_EquipItem_(item:Chisel_level:1_num_agent:1)_reward_to:agent	yaofeng_200M	0.534101
pvp	item	curriculum/Task_EquipItem_(item:Chisel_level:1_num_agent:1)_reward_to:agent	yaofeng_25M	0.347199
pvp	item	curriculum/Task_EquipItem_(item:Chisel_level:1_num_agent:1)_reward_to:agent	yaofeng_50M	0.334874
pvp	item	curriculum/Task_EquipItem_(item:Chisel_level:3_num_agent:1)_reward_to:agent	baseline_10M	0.000000
pvp	item	curriculum/Task_EquipItem_(item:Chisel_level:3_num_agent:1)_reward_to:agent	learner	0.000000
pvp	item	curriculum/Task_EquipItem_(item:Chisel_level:3_num_agent:1)_reward_to:agent	takeru_100M	0.009733
pvp	item	curriculum/Task_EquipItem_(item:Chisel_level:3_num_agent:1)_reward_to:agent	takeru_200M	0.035904
pvp	item	curriculum/Task_EquipItem_(item:Chisel_level:3_num_agent:1)_reward_to:agent	takeru_25M	0.004145
pvp	item	curriculum/Task_EquipItem_(item:Chisel_level:3_num_agent:1)_reward_to:agent	takeru_50M	0.002703
pvp	item	curriculum/Task_EquipItem_(item:Chisel_level:3_num_agent:1)_reward_to:agent	yaofeng_100M	0.032050
pvp	item	curriculum/Task_EquipItem_(item:Chisel_level:3_num_agent:1)_reward_to:agent	yaofeng_200M	0.074107
pvp	item	curriculum/Task_EquipItem_(item:Chisel_level:3_num_agent:1)_reward_to:agent	yaofeng_25M	0.012296
pvp	item	curriculum/Task_EquipItem_(item:Chisel_level:3_num_agent:1)_reward_to:agent	yaofeng_50M	0.030211
pvp	item	curriculum/Task_EquipItem_(item:Gloves_level:1_num_agent:1)_reward_to:agent	baseline_10M	0.118369
