category	task_name	weight	policy_name	mode	seed	count	score
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	takeru_25M	pvp	31128942	42	0.121429
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	takeru_25M	pvp	42720373	55	0.193636
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	takeru_25M	pvp	47914166	44	0.128409
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	takeru_25M	pvp	97868113	44	0.176136
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	takeru_25M	pvp	99672462	50	0.167000
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	takeru_25M	pvp	99910280	36	0.150000
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	takeru_50M	pvp	1	54	0.180556
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	takeru_50M	pvp	12196392	36	0.115278
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	takeru_50M	pvp	19525770	54	0.097222
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	takeru_50M	pvp	28034063	37	0.072973
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	takeru_50M	pvp	31128942	46	0.145652
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	takeru_50M	pvp	42720373	51	0.127451
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	takeru_50M	pvp	47914166	49	0.167347
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	takeru_50M	pvp	97868113	41	0.164634
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	takeru_50M	pvp	99672462	35	0.138571
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	takeru_50M	pvp	99910280	55	0.220909
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	yaofeng_100M	pvp	1	33	0.253030
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	yaofeng_100M	pvp	12196392	46	0.316304
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	yaofeng_100M	pvp	19525770	45	0.308889
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	yaofeng_100M	pvp	28034063	47	0.353191
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	yaofeng_100M	pvp	31128942	54	0.327778
